"Indicatif","HeureStart","HeureStop","TempsAttentePiste","TempsArretTotal"
6990,46247,47458,298,0
6989,46105,47577,370,0
6992,46474,47696,318,0
6991,46427,47815,185,0
6993,46708,47934,266,0
6995,46924,48053,158,0
6994,46747,48172,210,0
6996,47061,48291,19,0
6997,47335,48410,118,0
6999,47746,48642,0,0
6998,47544,48821,73,0
7001,48155,49113,0,0
7000,48018,49232,21,0
7003,48558,49501,0,0
7002,48499,49707,0,0
7004,48966,49974,60,0
7005,48971,50185,0,0
7006,49382,50344,0,0
7007,49423,50609,0,0
7008,49797,50817,60,0
7009,49900,51058,0,0
7010,50212,51177,5,0
7011,50374,51553,0,0
7012,50617,51672,104,0
7014,51048,52016,0,0
7013,50831,52135,98,0
7016,51484,52440,0,0
7015,51326,52559,23,0
7018,51916,52885,0,0
7017,51818,53017,0,0
7020,52352,53319,0,0
7019,52323,53514,0,0
7021,52778,53779,60,0
7022,52838,53995,0,0
7023,53208,54213,60,0
7024,53334,54546,0,0
7025,53645,54665,49,0
7027,54080,55041,0,0
7026,53856,55160,104,0
7029,54523,55468,0,0
7028,54348,55587,52,0
7031,54979,55934,0,0
7030,54803,56053,39,0
7033,55429,56399,0,0
7032,55245,56518,81,0
7035,55879,56904,60,0
7034,55693,57023,143,0
7037,56324,57316,60,0
7036,56146,57435,116,0
7039,56772,57738,0,0
7038,56606,57857,64,0
7041,57218,58205,60,0
7040,57065,58324,107,0
7043,57668,58548,0,0
7042,57494,58734,60,0
7045,58082,59050,0,0
7044,57945,59169,14,0
7047,58496,59514,60,0
7046,58306,59633,126,0
7048,58684,59857,0,0
7049,58894,59976,115,0
7051,59297,60249,0,0
7050,59052,60368,113,0
7052,59430,60696,60,0
7053,59706,60815,152,0
7054,59806,60964,0,0
7055,60115,61143,88,0
7056,60175,61303,0,0
7057,60518,61473,0,0
7058,60548,61750,0,0
7060,60931,61886,0,0
7059,60926,62126,0,0
7062,61347,62302,0,0
7061,61277,62473,0,0
7063,61684,62604,0,0
7064,61722,62890,0,0
7065,62025,63069,103,0
7067,62359,63376,60,0
7066,62170,63495,130,0
7069,62688,63656,0,0
7068,62630,63821,0,0
7070,63021,63953,0,0
7071,63061,64272,0,0
7072,63356,64391,96,0
7074,63692,64589,0,0
7073,63493,64708,65,0
7076,64025,64975,0,0
7075,63938,65151,0,0
7077,64357,65282,0,0
7078,64388,65602,0,0
7079,64687,65721,69,0
7080,64825,65868,0,0
7081,65027,66047,70,0
7083,65397,66365,0,0
7082,65356,66540,0,0
7084,65769,66678,0,0
7086,66144,67079,0,0
7085,65890,67198,111,0
7088,66510,67469,0,0
7087,66428,67663,60,0
7089,66881,67790,0,0
7090,66969,68163,0,0
7091,67248,68282,69,0
7093,67622,68645,60,0
7092,67512,68764,120,0
7094,67987,69013,60,0
7095,68059,69263,60,0
7096,68356,69382,60,0
7098,68729,69718,60,0
7097,68613,69897,118,0
7100,69188,70091,0,0
7099,68990,70210,32,0
7101,69375,70479,0,0
7102,69645,70598,58,0
7103,69774,71048,60,0
7104,70102,71167,101,0
7105,70160,71346,113,0
7107,70558,71465,14,0
7106,70552,71711,0,0
7109,71009,71977,0,0
7108,70932,72197,60,0
7111,71463,72430,0,0
7110,71325,72549,19,0
7113,71912,72940,60,0
7112,71688,73059,163,0
7114,72088,73351,60,0
7115,72364,73470,173,0
7116,72468,73705,60,0
7118,72851,73824,40,0
7117,72838,74003,106,0
7120,73344,74271,60,0
7119,73226,74413,0,0
7122,73839,74785,0,0
7121,73614,74904,101,0
7123,73981,75179,0,0
7124,74331,75358,74,0
7125,74357,75553,0,0
7127,74823,75842,60,0
7126,74770,75967,0,0
7129,75315,76252,0,0
7128,75157,76431,139,0
7130,75540,76712,0,0
7131,75805,76831,65,0
7132,75902,77114,60,0
7133,76585,77587,60,0
7134,76761,78000,60,0
7135,77370,78308,0,0
7136,77636,78850,0,0
7137,78154,79108,0,0
7138,78494,79636,0,0
7139,78937,79867,0,0
7140,79373,80538,0,0
7141,79721,80688,0,0
7142,80826,82027,0,0
7143,81115,82146,66,0
7145,82503,83462,0,0
7144,82275,83581,106,0
7147,83898,84829,0,0
7146,83747,84957,0,0
7149,86000,527,0,0
7148,85983,718,0,0
7150,1709,2660,0,0
7151,1806,3016,0,0
7152,5348,6302,0,0
7153,5487,6646,0,0
7154,12379,13346,0,0
7155,12498,13762,60,0
7156,14125,15090,0,0
7157,14168,15301,60,0
7159,15863,16805,0,0
7158,15828,16924,3,0
7160,17637,18580,0,0
7161,17751,18896,0,0
7162,19405,20374,0,0
7163,19670,20942,60,0
7164,20020,21061,71,0
7165,20349,21581,60,0
7166,20642,21700,96,0
7168,21255,22158,0,0
7167,21029,22277,56,0
7170,21876,22834,0,0
7169,21726,22953,37,0
7172,22372,23381,60,0
7171,22240,23500,62,0
7174,22863,23808,0,0
7173,22753,23953,0,0
7176,23344,24309,0,0
7175,23255,24428,29,0
7178,23829,24848,60,0
7177,23780,25040,60,0
7180,24319,25289,60,0
7179,24293,25563,60,0
7182,24796,25761,0,0
7181,24790,26034,60,0
7183,25284,26220,0,0
7184,25307,26516,0,0
7186,25719,26688,0,0
7185,25695,26861,0,0
7188,26154,27070,0,0
7187,26067,27247,0,0
7190,26587,27611,60,0
7189,26468,27730,59,0
7192,27022,27984,0,0
7191,26862,28103,53,0
7194,27460,28353,0,0
7193,27254,28472,47,0
7195,27648,28889,60,0
7196,27898,29068,211,0
7197,28052,29247,0,0
7198,28332,29426,142,0
7199,28450,29645,0,0
7200,28775,29764,27,0
7201,28845,30053,0,0
7203,29213,30172,12,0
7202,29185,30374,0,0
7205,29578,30562,60,0
7204,29524,30706,0,0
7207,29951,30901,0,0
7206,29845,31047,0,0
7209,30317,31287,0,0
7208,30169,31406,75,0
7211,30685,31655,0,0
7210,30523,31774,36,0
7213,31051,31992,0,0
7212,30849,32111,78,0
7214,31191,32347,0,0
7215,31427,32466,91,0
7216,31516,32722,60,0
7217,31801,32901,136,0
7218,31831,33080,104,0
7220,32174,33259,160,0
7219,32172,33378,14,0
7222,32554,33514,0,0
7221,32486,33659,0,0
7224,32917,33934,60,0
7223,32768,34113,137,0
7225,33049,34232,72,0
7226,33276,34411,168,0
7227,33321,34530,49,0
7229,33634,34649,88,0
7228,33602,34768,11,0
7231,34001,34963,0,0
7230,33895,35169,60,0
7233,34360,35310,0,0
7232,34174,35429,69,0
7234,34457,35599,0,0
7235,34714,35718,54,0
7236,34751,36014,60,0
7238,35078,36133,134,0
7237,35038,36252,46,0
7240,35448,36406,0,0
7239,35327,36525,4,0
7242,35798,36792,60,0
7241,35621,36971,151,0
7243,35871,37090,23,0
7245,36158,37209,140,0
7244,36139,37328,5,0
7246,36487,37447,3,0
7247,36541,37797,60,0
7248,36806,37976,237,0
7250,37127,38155,82,0
7249,36943,38274,122,0
7252,37448,38411,0,0
7251,37351,38590,71,0
7254,37767,38737,0,0
7253,37756,38946,0,0
7255,38096,39125,64,0
7257,38417,39328,0,0
7256,38154,39507,149,0
7259,38738,39686,0,0
7258,38565,39805,25,0
7261,39062,39953,0,0
7260,38969,40134,0,0
7263,39393,40328,0,0
7262,39373,40607,60,0
7264,39712,40726,61,0
7266,40028,40996,60,0
7265,39782,41175,216,0
7267,40033,41294,76,0
7269,40345,41413,114,0
7268,40276,41592,105,0
7271,40661,41771,188,0
7270,40528,41890,197,0
7272,40770,42069,187,0
7273,40966,42188,259,0
7274,41033,42307,123,0
7275,41282,42426,185,0
7276,41287,42545,56,0
7278,41587,42724,222,0
7277,41555,42843,180,0
7280,41905,43022,160,0
7279,41814,43141,150,0
7282,42226,43260,82,0
7281,42070,43379,97,0
7284,42524,43498,41,0
7283,42313,43617,128,0
7285,42560,43826,60,0
7287,42831,43945,162,0
7286,42804,44064,80,0
7289,43148,44183,71,0
7288,43064,44362,121,0
7291,43462,44541,176,0
7290,43319,44660,177,0
7293,43824,44779,19,0
7292,43756,44924,0,0
7295,44198,45169,0,0
7294,44191,45371,0,0
7296,44563,45592,60,0
7297,44596,45764,0,0
7298,44929,45943,71,0
7299,45030,46178,0,0
7300,45293,46297,50,0
7302,45645,46673,60,0
7301,45448,46852,195,0
7304,46010,46971,50,0
7303,45875,47150,143,0
7306,46370,47294,0,0
7305,46299,47472,0,0
7308,46737,47689,0,0
7307,46728,47918,0,0
7309,47105,48122,60,0
7310,47153,48395,60,0
7311,47475,48514,72,0
7312,47543,48809,60,0
7313,47843,48928,146,0
7314,47937,49133,0,0
7315,48218,49252,78,0
7317,48588,49518,0,0
7316,48339,49637,98,0
7319,48958,49875,0,0
7318,48766,49994,29,0
7321,49332,50308,60,0
7320,49176,50427,36,0
7323,49696,50717,60,0
7322,49595,50836,43,0
7325,50070,51036,0,0
7324,49993,51265,60,0
7327,50439,51393,0,0
7326,50384,51544,0,0
7328,50746,51750,60,0
7329,50783,52025,60,0
7330,51049,52204,214,0
7331,51122,52323,46,0
7332,51355,52442,118,0
7333,51451,52561,17,0
7334,51659,52680,60,0
7336,51974,52897,0,0
7335,51787,53016,102,0
7338,52270,53233,0,0
7337,52139,53412,61,0
7340,52573,53531,15,0
7339,52472,53710,64,0
7342,52874,53829,25,0
7341,52804,54012,0,0
7344,53188,54204,60,0
7343,53131,54334,0,0
7346,53494,54459,0,0
7345,53454,54662,0,0
7348,53798,54781,13,0
7347,53787,55012,60,0
7349,54100,55191,141,0
7350,54101,55310,17,0
7352,54711,55740,60,0
7351,54527,55859,141,0
7353,54951,56155,0,0
7354,55307,56277,0,0
7355,55391,56618,60,0
7357,55900,56851,0,0
7356,55807,56970,55,0
7358,56243,57492,60,0
7359,56500,57611,164,0
7360,56671,57852,0,0
7361,57101,58069,0,0
7362,57108,58369,60,0
7364,57700,58671,0,0
7363,57533,58790,42,0
7366,58133,59102,0,0
7365,57955,59221,68,0
7368,58566,59535,0,0
7367,58404,59714,158,0
7369,58830,59942,0,0
7370,59007,60061,93,0
7372,59446,60414,0,0
7371,59273,60533,107,0
7374,59879,60848,0,0
7373,59692,60967,69,0
7376,60308,61252,0,0
7375,60123,61371,61,0
7378,60744,61755,60,0
7377,60547,61874,129,0
7380,61180,62113,60,0
7379,60994,62292,231,0
7382,61615,62568,0,0
7381,61448,62687,37,0
7384,61950,62975,60,0
7383,61911,63154,175,0
7385,62293,63273,10,0
7386,62392,63524,0,0
7387,62628,63643,58,0
7388,62851,63963,60,0
7389,62960,64082,177,0
7390,63300,64260,0,0
7391,63309,64476,0,0
7392,63636,64603,0,0
7394,63978,65006,60,0
7393,63760,65125,173,0
7396,64315,65333,60,0
7395,64210,65452,75,0
7397,64659,65654,60,0
7398,64678,65816,0,0
