Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
3825,36720,38560,635,0
3828,37140,38679,572,0
3827,37046,38798,572,0
3830,37445,38917,518,0
3834,38072,39036,7,0
3829,37366,39155,614,0
3832,37764,39274,541,0
3831,37688,39393,581,0
3835,38328,39512,54,0
3836,38377,39631,315,0
3833,38002,39810,656,0
3837,38657,39929,72,0
3840,38984,40108,162,0
3838,38676,40287,642,0
3841,39287,40406,159,0
3842,39309,40525,64,0
3839,38979,40704,572,0
3846,39885,40823,0,0
3844,39624,40942,147,0
3843,39586,41061,517,0
3847,40023,41240,8,0
3850,40364,41419,95,0
3845,39835,41538,511,0
3848,40122,41717,630,0
3855,40845,41896,106,0
3849,40235,42015,568,0
3852,40602,42134,564,0
3851,40439,42313,711,0
3853,40652,42432,666,0
3854,40843,42611,627,0
3857,41088,42730,742,0
3856,41044,42849,618,0
3859,41324,42968,677,0
3858,41222,43147,714,0
3861,41564,43326,829,0
3860,41402,43505,920,0
3862,41594,43624,871,0
3864,41809,43803,1026,0
3863,41781,43982,1009,0
3866,42043,44101,1091,0
3865,41977,44280,1126,0
3868,42287,44459,1211,0
3867,42160,44638,1281,0
3870,42529,44817,1320,0
3869,42350,44936,1375,0
3873,42763,45115,1385,0
3871,42543,45234,1503,0
3875,42999,45353,1368,72
3872,42750,45472,1445,72
3874,42938,45651,1369,146
3877,43242,45770,1471,146
3876,43137,45889,1256,306
3878,43330,46008,1165,311
3879,43597,46187,1328,311
3880,43675,46306,1115,327
3881,43947,46485,1292,279
3884,44307,46664,1231,158
3882,43972,46783,1302,295
3883,44297,46902,1286,168
3886,44670,47081,1303,153
3885,44630,47200,1209,153
3888,45033,47319,1254,76
3887,44961,47438,1239,76
3890,45394,47557,1182,35
3889,45273,47676,1219,35
3892,45751,47795,1066,28
3891,45600,47914,1104,28
3893,45925,48093,993,28
3894,46105,48212,1109,28
3896,46461,48391,988,0
3895,46240,48570,1106,28
3897,46558,48749,994,0
3898,46828,48868,1084,0
3899,46865,48987,945,0
3900,47146,49106,1026,0
3902,47470,49285,856,0
3901,47309,49404,901,0
3904,47791,49523,815,0
3903,47753,49702,746,0
3905,48109,49881,801,0
3907,48423,50000,621,0
3906,48189,50119,731,0
3909,48740,50238,584,0
3908,48623,50357,538,0
3912,49366,50476,139,0
3910,49054,50595,578,0
3913,49521,50714,13,0
3911,49076,50893,611,0
3916,49996,51012,91,0
3914,49684,51191,547,0
3917,50316,51370,84,0
3915,49977,51549,407,0
3918,50440,51728,87,0
3919,50629,51907,325,0
3920,50807,52026,92,0
